Symptoms	PossibleDisease	Medicine
Abdominal pain, Yellowing of skin	Sepsis	Surgery, Radiation therapy
Fever, Headache, Stiff neck	Diabetes	Cholinesterase inhibitors
Chest pain, Shortness of breath	Stroke	Anticoagulants, Oxygen therapy
Abdominal pain, Vomiting, Yellowing of skin	Tuberculosis	Anticoagulants, Oxygen therapy
Skin lesions, Joint pain, Fatigue	Deep Vein Thrombosis	Diuretics, ACE inhibitors
Abdominal pain, Vomiting blood	Heart Failure	Blood thinners, Rate control drugs
Joint pain, Stiffness, Fatigue	Psoriasis	Oseltamivir (Tamiflu)
Abdominal pain, Bloating, Diarrhea	Gastroenteritis	Anticoagulants, Compression stockings
Difficulty speaking, Weakness	Multiple Sclerosis	Analgesics, Physical therapy
Fever, Headache, Stiff neck	Pancreatic Cancer	NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)
Frequent urination, Blurred vision	Psoriatic Arthritis	Disease-modifying antirheumatic drugs (DMARDs)
Shortness of breath, Swelling	Lupus	Antibiotics, Intravenous fluids
Skin lesions, Joint pain, Fatigue	Colon Cancer	Proton pump inhibitors
Chest pain, Shortness of breath	Mononucleosis	Bronchodilators, Oxygen therapy
Abdominal pain, Diarrhea, Weight loss	Throat Cancer	Isoniazid, Rifampin, Pyrazinamide
Excessive thirst, Frequent urination	Diabetic Retinopathy	Iron supplements
Red or purple skin lesions	Lyme Disease	Blood thinners, Rate control drugs
Joint pain, Stiffness, Fatigue	Diabetes	Methotrexate, NSAIDs
Difficulty breathing, Wheezing	Lung Cancer	Metformin, Lifestyle modifications
Chest pain, Rapid heartbeat	Pancreatic Cancer	Bronchodilators, Oxygen therapy
Red or purple skin lesions	Coronary Artery Disease (CAD)	Anticoagulants, Oxygen therapy
Memory loss, Confusion	Chronic Bronchitis	Gluten-free diet, Symptomatic treatment
Fatigue, Weakness, Pale skin	Pancreatic Cancer	NSAIDs, Immunosuppressants
Abdominal pain, Changes in bowel habits	Deep Vein Thrombosis	Corticosteroids, Immunomodulators
Swelling in ankles, Fatigue	Deep Vein Thrombosis	Disease-modifying antirheumatic drugs (DMARDs)
Skin rash, Itching, Redness	Dementia	Insulin, Oral hypoglycemics
Fatigue, Fever, Muscle aches	Herniated Disc	Surgery, Antibiotics
Abdominal pain, Blood in stool	Dermatitis	Bronchodilators, Oxygen therapy
Vision changes, Eye pain	Angina	Blood thinners, Rate control drugs
Difficulty speaking, Weakness	Type 2 Diabetes	NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)
Joint pain, Morning stiffness	Pneumonia	Diuretics, ACE inhibitors
Chest pain, Shortness of breath	Appendicitis	Aspirin, Nitroglycerin, Beta-blockers
Joint pain, Stiffness, Fatigue	Hypothyroidism	Antibiotics, Oxygen therapy
Chest pain, Palpitations	Psoriatic Arthritis	Surgery, Dietary changes
Skin lesions, Joint pain, Fatigue	Pulmonary Embolism	Antibiotics, Oxygen therapy
Fatigue, Weakness, Pale skin	Osteoporosis	Vasodilators, Oxygen therapy
Frequent urination, Thirst	Gastroenteritis	Thrombolytics, Rehabilitation
Sore throat, Swollen lymph nodes	Alzheimer's Disease	Anticoagulants, Oxygen therapy
Joint pain, Stiffness, Fatigue	Dementia	Surgery, Radiation therapy
Swollen joints, Morning stiffness	Peptic Ulcer	Antibiotics, Oxygen therapy
Abdominal pain, Nausea, Vomiting	Chronic Pulmonary Hypertension	Vasodilators, Oxygen therapy
Fatigue, Weakness, Pale skin	Diabetes	Cholinesterase inhibitors
Abdominal pain, Changes in bowel habits	Gallstones	Bronchodilators, Corticosteroids
Abdominal pain, Vomiting blood	Heart Failure	Anticoagulants, Compression stockings
Chest pain, Shortness of breath	Appendicitis	Diuretics, ACE inhibitors
Joint pain, Swelling, Morning stiffness	Dementia	Fasting, Pain management
Fatigue, Fever, Muscle aches	Diabetic Retinopathy	Cognitive training, Healthy lifestyle
Chest pain, Shortness of breath	Stroke	Cholinesterase inhibitors
Difficulty swallowing, Weight loss	Pancreatic Cancer	Antiviral medications, Rest
Joint pain, Swelling, Redness	Asthma	Iron supplements
Abdominal pain, Vomiting, Yellowing of skin	Congestive Heart Failure	Bronchodilators, Corticosteroids
Difficulty swallowing, Weight loss	Rheumatoid Arthritis	Anticoagulants, Compression stockings
Muscle pain, Fatigue, Sleep disturbances	Migraine	Surgery, Radiation therapy
Shortness of breath, Swelling	Chronic Kidney Disease	Surgery, Chemotherapy
Abdominal pain, Nausea, Vomiting	Lung Cancer	Rest, Hydration, Pain relievers
Chest pain, Shortness of breath	Throat Cancer	NSAIDs, Colchicine
Frequent urination, Blurred vision	Rheumatoid Arthritis	Anticoagulants, Compression stockings
Frequent urination, Blurred vision	Irritable Bowel Syndrome (IBS)	Bronchodilators, Oxygen therapy
Sore throat, Swollen lymph nodes	Glaucoma	Anticoagulants, Compression stockings
Difficulty swallowing, Hoarseness	Heart Failure	Disease-modifying antirheumatic drugs (DMARDs)
Shortness of breath, Swelling	Meningitis	Nitroglycerin, Beta-blockers
Difficulty swallowing, Hoarseness	Psoriatic Arthritis	Insulin, Oral hypoglycemics
Fatigue, Fever, Muscle aches	Chronic Pulmonary Hypertension	Physical therapy, Pain relievers
Joint pain, Stiffness, Fatigue	Heart Failure	Surgery, Chemotherapy
Abdominal pain, Vomiting, Yellowing of skin	Depression	Calcium supplements, Vitamin D
Chest pain, Shortness of breath	Multiple Sclerosis	Cognitive training, Healthy lifestyle
Muscle pain, Fatigue, Sleep disturbances	Encephalitis	Blood sugar control, Laser therapy
Persistent cough, Blood in sputum	Peptic Ulcer	Vasodilators, Oxygen therapy
Shortness of breath, Swelling	Osteoporosis	Corticosteroids, Immunomodulators
Difficulty swallowing, Hoarseness	Multiple Sclerosis	Surgery, Dietary changes
Back pain, Numbness, Weakness	Alzheimer's Disease	Surgery, Chemotherapy
Fever, Headache, Stiff neck	Appendicitis	NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)
Excessive thirst, Frequent urination	Influenza	Antidepressants, Psychotherapy
Headache, Blurred vision, Nausea	Migraine	NSAIDs, Colchicine
Red or purple skin lesions	Atrial Fibrillation	Anticoagulants, Compression stockings
Abdominal bloating, Cramping	Sepsis	Diuretics, ACE inhibitors
Joint pain, Redness, Swelling	Glaucoma	Antibiotics, Oxygen therapy
Fatigue, Fever, Muscle aches	Heart Attack	Proton pump inhibitors, Antibiotics
Abdominal pain, Vomiting blood	Lyme Disease	Surgery, Chemotherapy
Fever, Headache, Stiff neck	Crohn's Disease	Physical therapy, Pain relievers
Chest pain, Palpitations	Appendicitis	Antiviral medications, Rest
Frequent urination, Thirst	Heart Attack	Nitroglycerin, Beta-blockers
Abdominal pain, Nausea, Vomiting	Anemia	Surgery, Dietary changes
Vision changes, Eye pain	Encephalitis	Iron supplements
Abdominal pain, Yellowing of skin	Deep Vein Thrombosis	Blood thinners, Rate control drugs
Chest pain, Shortness of breath	Lupus	Insulin, Oral hypoglycemics
Chest pain, Shortness of breath	Appendicitis	Antibiotics
Abdominal pain, Vomiting, Yellowing of skin	Heart Failure	Bronchodilators, Corticosteroids
Swelling in legs, Shortness of breath	Pancreatitis	NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)
Chest pain, Palpitations	Psoriatic Arthritis	Gluten-free diet, Symptomatic treatment
Frequent urination, Thirst	Depression	Blood thinners, Rate control drugs
Frequent urination, Thirst	Psoriatic Arthritis	Surgery, Radiation therapy
Difficulty swallowing, Hoarseness	Hypothyroidism	Dietary changes, Antispasmodics
Chest pain, Shortness of breath	Anemia	Isoniazid, Rifampin, Pyrazinamide
Difficulty swallowing, Hoarseness	Dermatitis	Metformin, Lifestyle modifications
Difficulty speaking, Weakness	Glaucoma	NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)
Memory loss, Confusion	Rheumatoid Arthritis	Isoniazid, Rifampin, Pyrazinamide
Dizziness, Shortness of breath	Peptic Ulcer	Methotrexate, NSAIDs
Abdominal pain, Diarrhea, Fever	Congestive Heart Failure	Nitroglycerin, Beta-blockers
Fatigue, Weakness, Pale skin	Crohn's Disease	Diuretics, ACE inhibitors
